,SimHGS,,MVND,
Instances,Best,Avg,Best,Avg
10x3A,5441.25,5441.25,5441.25,5441.25
10x4A,7533.59,7533.59,7460.04,7482.5
15x3A,10019,10019,10019,10019
15x4A,13226.2,13226.2,13226.2,13226.2
20x3A,17695,17695,17695,17695
20x4A,17805.75,17805.75,17805.75,17806.85
25x3A,70463.51,70464.31,70463.2,70464.05
25x5A,35221.33,35222.38,35229.75,35234.77
28x3A,65003.48,65003.48,65003.48,65003.48
28x5A,63293.84,63297.9,63339.44,63371.56
30x6A,53201.45,53207.38,53232.76,53242
30x8A,61352.43,61359.5,61467.97,61690.7
35x6A,88253.35,88419.96,88582.45,88627.16
35x8A,83443.56,83487.84,83732.54,83788.21
40x6A,107222.34,107306.55,107318.87,107699.64
40x8A,118623.58,118892.14,118937.98,119131.69
50x6A,259656.7,259869.59,259921.92,259962.84
50x8A,168321.2,168378.93,168705.72,168877.46
60x8A,256174.84,256684.28,257260.41,257707.8
60x10A,258497.09,258632.3,260040.62,260296.74
80x8A,554099.42,554848.92,554350.26,554913.72
80x10A,373005.98,374262.99,374820.55,375544.29
100x10A,773276.74,774292.47,772772.64,773500.91
100x15A,749159.93,751312.57,752155.45,752612.57
10x3B,17588.01,17588.01,17588.01,17588.01
10x4B,24588.2,24588.2,24588.2,24588.2
15x3B,37798.25,37798.93,37801.41,37805.14
15x4B,50542.02,50549.05,50613.36,50641.5
20x3B,62467.74,62470.96,62507.86,62525.76
20x4B,67575.55,67688.62,67817.08,67915
25x3B,241551.04,241605.58,241554.04,241589.2
25x5B,114511.99,114671.09,115227.99,115389.21
28x3B,241918.34,241992.26,242022.23,242081.35
28x5B,195827.52,196148.55,196590.26,196677.33
30x6B,194666.04,194897.27,195592.91,195778.74
30x8B,201236.17,201479.97,202361.4,202624.84
35x6B,305978.94,306277.37,306863.22,307195.39
35x8B,268297.15,268486.71,269325.4,269797.85
40x6B,347541.02,347726.14,348234.98,348729.28
40x8B,362918.37,363447.92,364931.13,365186.78
50x6B,831909.25,832832.34,833530.25,833851
50x8B,525307.88,526001.26,527498.69,527838.56
60x8B,941062.9,942626.92,943502.66,944129.5
60x10B,854676.42,855992.45,858189.41,859113.37
80x8B,1821242.07,1821761.9,1822237.08,1822611.12
80x10B,1337100.24,1337628.87,1338564.17,1339378.52
100x10B,2620042.08,2622073.93,2621301.97,2622940.52
100x15B,2525547.24,2531717.24,2530295.35,2534768.33
10x3C,43.81,47.11,53.62,57.67
10x4C,17,19.7,33,34.93
15x3C,8264.02,8342.88,8374.39,8599.84
15x4C,374.6,604.75,916.36,1102.55
20x3C,29764.93,30018.93,29805.11,30718.48
20x4C,5248.03,5707.41,6041.45,6334.04
25x3C,82328.8,82564.93,84202.33,84509.32
25x5C,43721.55,44134.35,44101.36,44881.12
28x3C,121351.14,122520.48,124216.9,126007.25
28x5C,42243.96,43088.97,44385.33,44988.74
30x6C,36350.62,36685.16,38442.91,38764.93
30x8C,35803.85,36256.54,37850.26,38453.21
35x6C,119484.04,120939.04,123796.24,125071.3
35x8C,114372.69,115674.54,117608.99,118303
40x6C,181321.26,182234.31,184237.74,185535.93
40x8C,180282.84,182310.96,181700.58,184094.06
50x6C,425567.18,427706.71,427878.71,431091.18
50x8C,417126.04,418412.27,417211.7,420119.64
60x8C,531970.13,534372.97,532945.35,535089.04
60x10C,532976.86,535436.84,534553.74,537180.14
80x8C,1096037.7,1098380.31,1096037.7,1098717.51
80x10C,1098289.2,1100530.49,1098289.2,1101716.24
100x10C,2230299.83,2235966.97,2230299.83,2235980.82
100x15C,2239781.38,2244886.98,2239781.38,2244886.98
